Movie_title,Year,Genre,Language,Country,Imdb_rating,Total_reviews,Voted_users,Duration_minutes
The Haunting,2000,Fantasy,English,USA,4.6,167,245514,96
Little Nicky,2007,Comedy,English,USA,8.2,87,156998,139
Thirteen Days,2001,Drama,English,USA,7,162,18272,166
Bandits,1998,Comedy,English,USA,9.3,132,366398,167
Swordfish,1999,Action,English,USA,5.9,166,266356,124
Lilo & Stitch,2006,Adventure,English,USA,7.5,180,395083,162
Road to Perdition,1996,Crime,English,USA,9.1,226,238889,148
Spirit: Stallion of the Cimarron,2002,Adventure,English,USA,4.6,106,115642,111
The Time Machine,1998,Action,English,USA,9.2,124,92236,123
Looney Tunes: Back in Action,2016,Adventure,English,Germany,7.8,101,52424,144
S.W.A.T.,1991,Action,English,USA,4.4,144,4226,166
Something's Gotta Give,1994,Comedy,English,USA,5.7,145,351796,87
Timeline,2018,Action,English,USA,7.9,123,28223,156
Meet the Fockers,2008,Comedy,English,USA,4.4,141,389613,151
Scooby-Doo 2: Monsters Unleashed,1997,Adventure,English,USA,7.2,94,234682,166
Spanglish,1990,Comedy,English,USA,5.9,124,363138,122
The Manchurian Candidate,2011,Drama,English,USA,7.4,209,140680,80
The Great Raid,2006,Action,Filipino,USA,4.3,81,209286,130
The Interpreter,1996,Crime,Aboriginal,UK,8.8,227,36143,103
Ice Age: The Meltdown,2014,Action,English,USA,9.4,164,162896,178
Over the Hedge,1993,Adventure,English,USA,9.3,166,366540,103
The Invasion,1995,Sci-Fi,English,USA,8.1,232,214932,96
Bedtime Stories,2020,Comedy,English,USA,4.7,144,140499,84
Eagle Eye,2008,Action,English,USA,8.2,215,356324,99
Over the Hedge,1993,Adventure,English,USA,9.3,166,366540,103
Get Smart,1999,Action,English,USA,4.1,265,416159,137
The Day the Earth Stood Still,2015,Drama,English,USA,5.8,276,80473,110
Nine,2008,Drama,English,USA,6.7,205,326093,179
Surrogates,1992,Action,English,USA,8.2,258,110334,90
Edge of Darkness,2002,Crime,English,UK,7.8,258,236886,131
Grown Ups,2017,Comedy,English,USA,6.5,179,470459,94
Legend of the Guardians: The Owls of Ga'Hoole,2009,Action,English,USA,5.5,188,453949,162
Shutter Island,2017,Mystery,English,USA,9.5,490,288181,86
The Book of Eli,1997,Action,English,USA,6.3,325,495009,107
The Expendables,1990,Action,English,USA,6.5,424,340220,130
Yogi Bear,1992,Adventure,English,USA,4.9,143,108022,137
Just Go with It,2002,Comedy,English,USA,8.4,204,23112,84
The Hangover Part II,2017,Comedy,English,USA,7.8,383,225549,84
Zookeeper,2014,Comedy,English,USA,5.2,178,269115,173
Grown Ups 2,2022,Comedy,English,USA,4.5,139,167203,175
Walking with Dinosaurs 3D,1995,Adventure,English,USA,7.7,113,240569,87
Pompeii,2021,Action,English,Canada,7.6,272,223631,143
Hotel Transylvania 2,2010,Animation,English,USA,5.5,152,31848,89
Cold Mountain,2005,Adventure,English,USA,9.2,198,196304,117
Jack and Jill,2010,Comedy,English,USA,4.8,156,263821,175
Journey 2: The Mysterious Island,2000,Action,English,USA,6.4,178,136332,171
Red Dragon,2008,Crime,English,Germany,9.2,210,295423,160
The League of Extraordinary Gentlemen,2009,Action,English,USA,6.3,202,284280,174
The Hunger Games,2007,Adventure,English,USA,7.5,673,82389,87
Cloudy with a Chance of Meatballs 2,2003,Animation,English,USA,6.2,169,54051,104
The Zombie kingdom ,2004,Comedy,French,France,5.5,242,405272,152
The Adventures of Rocky & Bullwinkle,2020,Adventure,English,USA,9.4,49,421314,145
2 Fast 2 Furious,1990,Action,English,USA,6.3,150,143135,158
Children of Men,1992,Drama,English,USA,8.9,372,47319,129
Despicable Me 2,2005,Animation,English,USA,5.3,306,336414,146
Independence Day,2012,Action,English,USA,5.2,185,,128
The Rock,2000,Action,English,USA,4.2,122,420682,115
Alien: Resurrection,2001,Action,English,USA,7.6,223,213281,147
Con Air,1999,Action,English,USA,6,139,453605,157
Conspiracy Theory,2021,Action,English,USA,8.8,80,158559,120
Deep Impact,2005,Action,English,USA,6.6,125,341358,168
Soldier,1997,Action,English,UK,9.3,67,498590,141
Sphere,2001,Drama,English,USA,5,108,,89
Anna and the King,2013,Drama,English,USA,8.8,91,25096,100
Inspector Gadget,,Action,English,USA,8.3,70,426890,115
Titan A.E.,1997,Action,English,USA,8.2,,326750,91
Unbreakable,2017,Drama,English,USA,8.6,294,463683,
Vertical Limit,2015,Action,English,USA,8.2,134,59682,81
X-Men,1997,Action,English,USA,7.4,290,487016,92
Monkeybone,2017,Animation,English,USA,4.7,74,349807,132
